attribute,mean,max,min
maccs_k105,0.4554812146165723,1.0,0.0
maccs_322_150,0.03757076685537828,1.0,0.0
pubchem_f426,0.03757076685537828,1.0,0.0
pubchem_f457,0.03705609881626351,1.0,0.0
pattern_c325,0.0195573854863613,1.0,0.0
pubchem_f203,0.03602676273803397,1.0,0.0
pattern_c118,0.03602676273803397,1.0,0.0
maccs_k092,0.22748327328872878,1.0,0.0
pubchem_f694,0.18579516212043232,1.0,0.0
maccs_k019,0.0638188368502316,1.0,0.0
ring_of_size7,0.0638188368502316,1.0,0.0
pubchem_f330,0.0025733401955738548,1.0,0.0
conjug_bond,0.0514668039114771,1.0,0.0
maccs_k048,0.0514668039114771,1.0,0.0
trans_double_bond:,0.11734431291816778,1.0,0.0
pattern_c29,0.14822439526505404,1.0,0.0
annelated_rings,0.4369531652084406,1.0,0.0
maccs_k165,0.8311888831703551,1.0,0.0
cyclic,0.8311888831703551,1.0,0.0
pubchem_f344,0.012866700977869275,1.0,0.0
pattern_c24,0.048893463715903245,1.0,0.0
maccs_322_001,0.9938239835306227,1.0,0.0
maccs_k101,0.4395265054040144,1.0,0.0
pubchem_f183,0.13690169840452907,1.0,0.0
maccs_322_005,0.7020072053525476,1.0,0.0
pubchem_f361,0.01080802882141019,1.0,0.0
pubchem_f031,0.04734945959855893,1.0,0.0
maccs_322_020,0.04734945959855893,1.0,0.0
maccs_k029,0.04734945959855893,1.0,0.0
phos_atom,0.04734945959855893,1.0,0.0
pattern_c277,0.04734945959855893,1.0,0.0
pubchem_f315,0.04734945959855893,1.0,0.0
pattern_c17,0.04683479155944416,1.0,0.0
maccs_322_083,0.04683479155944416,1.0,0.0
pubchem_f412,0.04683479155944416,1.0,0.0
pattern_c7,0.37261966031909416,1.0,0.0
pubchem_f187,0.33093154915079775,1.0,0.0
maccs_k079,0.16932578486875965,1.0,0.0
pubchem_f517,0.588780236747298,1.0,0.0
r5_1ht_sat,0.10190427174472465,1.0,0.0
maccs_322_066,0.003088008234688626,1.0,0.0
pubchem_f841,0.056613484302624806,1.0,0.0
maccs_k119,0.06845084920226453,1.0,0.0
maccs_k094,0.09675759135357695,1.0,0.0
pubchem_f408,0.0442614513638703,1.0,0.0
pubchem_f570,0.152856407617087,1.0,0.0
pubchem_f696,0.08337622233659289,1.0,0.0
pubchem_f612,0.1523417395779722,1.0,0.0
pubchem_f862,0.055069480185280496,1.0,0.0
pubchem_f798,0.24549665465774576,1.0,0.0
pubchem_f375,0.7817807514153371,1.0,0.0
maccs_k160,0.7817807514153371,1.0,0.0
pubchem_f017,0.12197632527020072,1.0,0.0
pubchem_f455,0.020586721564590838,1.0,0.0
pubchem_f565,0.532681420483788,1.0,0.0
pubchem_f706,0.15697375193000515,1.0,0.0
pubchem_f665,0.5290787442099846,1.0,0.0
pubchem_f200,0.14153371075656201,1.0,0.0
isopropyl,0.0885229027277406,1.0,0.0
pubchem_f647,0.18270715388574368,1.0,0.0
pubchem_f529,0.23468862583633557,1.0,0.0
pubchem_f301,0.048893463715903245,1.0,0.0
maccs_k052,0.048893463715903245,1.0,0.0
filter_fused_rings_55_heterocyclic,0.025218733916623777,1.0,0.0
primary_amino_azaheterocycle,0.025218733916623777,1.0,0.0
pattern_c30,0.24034997426659804,1.0,0.0
aliphatic_chain_13,0.1399897066392177,1.0,0.0
c-nitroso,0.002058672156459084,1.0,0.0
pubchem_f440,0.2074112197632527,1.0,0.0
pubchem_f386,0.11837364899639732,1.0,0.0
pattern_c36,0.489963973237262,1.0,0.0
pubchem_f516,0.04220277920741122,1.0,0.0
pubchem_f207,0.0782295419454452,1.0,0.0
pubchem_f210,0.024189397838394237,1.0,0.0
hydrazine_derivative,0.001029336078229542,1.0,0.0
hydrochlorofluorocarbon_pattern1,0.001029336078229542,1.0,0.0
monosubstituted_hydrazine,0.001029336078229542,1.0,0.0
